"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"74HC595","1","74HC595","","","","custom:74HC595D,118  SOIC-16 Shift Registers","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf"
"Battery_Cell1","1","Battery_Cell","","","","custom:screw_terminal_2","~"
"Buzzer1","1","Buzzer","","","","custom:HND-2319 Buzzer","~"
"C1,C2,C6,C7","4","1u","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C3,C10","2","4u7","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C5,C8,C9","4","100n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"D1,D2,D3,D4,D5,D6,D7,D8","8","LED yellow","","","","LED_SMD:LED_0805_2012Metric","~"
"D9","1","LED r","","","","LED_SMD:LED_0805_2012Metric","~"
"D10","1","LED G","","","","LED_SMD:LED_0805_2012Metric","~"
"H1,H2,H3,H4","4","M_H","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2","~"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"MCP1700","1","~","","","","Package_TO_SOT_SMD:SOT-89-3","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf"
"nrst-swclk-gnd-swdio-3v3","1","nrst swclk gnd swdio 3v3","","","","Connector_Harwin:Harwin_LTek-Male_05_P2.00mm_Vertical","~"
"Push_Button1","1","SW_Push","","","","custom:TK-6580DS-1 push button","~"
"R1,R2,R3,R10","4","5k1","","","","Resistor_SMD:R_0603_1608Metric","~"
"R4,R5,R6,R7,R11,R12,R13,R14,R15,R16,R17,R18","12","680","","","","Resistor_SMD:R_0402_1005Metric","~"
"R8,R9","2","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"Rotary_Encoder1","1","Rotary_Encoder","","","","custom:PEC12R-4220F-N0024 encoder","~"
"STM32F042F6P6","1","STM32F042F6Px","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","https://www.st.com/resource/en/datasheet/stm32f042f6.pdf"
"U1","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U2","1","MCP73831-2-MC","","","","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf"
