Designator,Mid X,Mid Y,Layer,Rotation
74HC595,107.500000,-65.080000,top,90.000000
Battery_Cell1,115.000000,-52.000000,top,180.000000
Button,99.100000,-51.700000,top,90.000000
Buzzer1,95.750000,-79.300000,top,-90.000000
C1,103.400000,-52.475000,top,90.000000
C2,104.225000,-56.950000,top,180.000000
C3,88.300000,-58.800000,top,0.000000
C4,98.850000,-63.000000,top,-90.000000
C5,89.950000,-61.520000,top,90.000000
C6,89.200000,-47.500000,top,90.000000
C7,106.975000,-59.040000,top,180.000000
C8,85.200000,-63.600000,top,90.000000
C9,85.800000,-65.300000,top,0.000000
C10,86.400000,-53.600000,top,90.000000
D1,114.112500,-75.400000,top,180.000000
D2,114.112500,-72.900000,top,180.000000
D3,114.112500,-70.400000,top,180.000000
D4,114.112500,-67.900000,top,180.000000
D5,114.112500,-65.400000,top,180.000000
D6,114.112500,-62.900000,top,180.000000
D7,114.112500,-60.400000,top,180.000000
D8,114.112500,-57.900000,top,180.000000
D9,94.300000,-49.162500,top,90.000000
D10,100.187500,-45.000000,top,180.000000
HT7533-1,107.400000,-53.400000,top,0.000000
USB,70.210000,-54.275000,top,-90.000000
R1,76.575000,-50.500000,top,180.000000
R2,76.300000,-57.100000,top,-90.000000
R3,90.750000,-48.925000,top,-90.000000
R4,91.460000,-51.400000,top,180.000000
R5,119.642500,-60.400000,top,180.000000
R6,119.642500,-62.900000,top,180.000000
R7,119.622500,-57.900000,top,180.000000
R8,86.750000,-61.712500,top,-90.000000
R9,88.450000,-65.200000,top,90.000000
R10,92.450000,-48.925000,top,-90.000000
R11,103.670000,-44.300000,top,180.000000
R12,119.622500,-75.400000,top,180.000000
R13,119.622500,-72.900000,top,180.000000
R14,119.602500,-70.400000,top,180.000000
R15,119.622500,-67.900000,top,180.000000
R16,119.642500,-65.400000,top,180.000000
R17,93.860000,-51.400000,top,180.000000
R18,103.660000,-45.700000,top,180.000000
Rotary_Encoder1,75.650000,-68.600000,top,0.000000
STM32F042F6P6,94.412500,-62.575000,top,0.000000
ESD,80.662500,-54.850000,top,0.000000
U2,87.750000,-50.300000,top,0.000000
nrst-swclk-gnd-swdio-3v3,84.500000,-46.300000,top,180.000000
